"dates","reservas.internacionais","divida.liquida","nfsp","juros.de.mora","juros.eua","transacoes.correntes","conta.capital","dolar.diario","ipca","meta.selic","selic.efetiva","pib.var.acum.12.meses","desemprego.pnadc"
2016.34,370458.2,29.76,4.15,0.0121522,0.5,-868.8,51.3,3.22122,8.97,14.25,14.15,0.53,11.77
2016.33,370347.8,29.76,4.15,0.0121522,0.5,-868.8,51.3,3.20302,8.97,14.25,14.15,0.53,11.77
2016.32,369935.2,29.76,4.15,0.0121522,0.5,-868.8,51.3,3.15084,8.97,14.25,14.15,0.53,11.77
2016.31,369836.6,29.76,4.15,0.0121522,0.5,-868.8,51.3,3.23854,8.97,14.25,14.15,0.53,11.77
2016.3,368219.8,29.66,2.23,0.01108965,0.5,-3819.8,17.7,3.27118,8.74,14.25,14.15,0.34,11.58
2016.29,368072.6,29.66,2.23,0.01108965,0.5,-3819.8,17.7,3.26772,8.74,14.25,14.15,0.34,11.58
2016.28,368654.8,29.66,2.23,0.01108965,0.5,-3819.8,17.7,3.27288,8.74,14.25,14.15,0.34,11.58
2016.27,368172.4,29.66,2.23,0.01108965,0.5,-3819.8,17.7,3.29964,8.74,14.25,14.15,0.34,11.58
2016.26,364213.2,29.66,2.23,0.01108965,0.5,-3819.8,17.7,3.28064,8.74,14.25,14.15,0.34,11.58
2016.25,367014.8,28.55,1.95,0.01162079,0.5,-2556.5,13.7,3.3784,8.84,14.25,14.15,0.67,11.32
2016.24,366594.2,28.55,1.95,0.01162079,0.5,-2556.5,13.7,3.46832,8.84,14.25,14.15,0.67,11.32
2016.23,366628.8,28.55,1.95,0.01162079,0.5,-2556.5,13.7,3.43638,8.84,14.25,14.15,0.67,11.32
2016.22,364297.4,28.55,1.95,0.01162079,0.5,-2556.5,13.7,3.58888,8.84,14.25,14.15,0.67,11.32
2016.21,363539.25,26.15,3.46,0.01108965,0.5,1427.1,9.8,3.578075,9.32,14.25,14.15,0.36,11.18
2016.2,364194,26.15,3.46,0.01108965,0.5,1427.1,9.8,3.53724,9.32,14.25,14.15,0.36,11.18
2016.19,365078.4,26.15,3.46,0.01108965,0.5,1427.1,9.8,3.49444,9.32,14.25,14.15,0.36,11.18
2016.18,364709.8,26.15,3.46,0.01108965,0.5,1427.1,9.8,3.53192,9.32,14.25,14.15,0.36,11.18
2016.17,361434.6,26.15,3.46,0.01108965,0.5,1427.1,9.8,3.51136,9.32,14.25,14.15,0.36,11.18
2016.16,361417.75,26.02,-1.71,0.0105588,0.5,-525,1.1,3.56935,9.28,14.25,14.15,0.26,11.18
2016.15,361091.6,26.02,-1.71,0.0105588,0.5,-525,1.1,3.53042,9.28,14.25,14.15,0.26,11.18
2016.14,360695.6,26.02,-1.71,0.0105588,0.5,-525,1.1,3.65014,9.28,14.25,14.15,0.26,11.18
2016.13,357524.4,26.02,-1.71,0.0105588,0.5,-525,1.1,3.61198,9.28,14.25,14.15,0.26,11.18
2016.12,359053.75,25.4,1.72,0.01162079,0.5,-1372.8,16.9,3.644525,9.39,14.25,14.15,0.16,10.9
2016.11,358526,25.4,1.72,0.01162079,0.5,-1372.8,16.9,3.6805,9.39,14.25,14.15,0.16,10.9
2016.1,359611.6,25.4,1.72,0.01162079,0.5,-1372.8,16.9,3.7107,9.39,14.25,14.15,0.16,10.9
2016.09,359478.2,25.4,1.72,0.01162079,0.5,-1372.8,16.9,3.89034,9.39,14.25,14.15,0.16,10.9
2016.08,359652,23.21,5.38,0.01002822,0.5,-1212.8,41.6,3.9636,10.36,14.25,14.15,0.41,10.22
2016.07,359516.2,23.21,5.38,0.01002822,0.5,-1212.8,41.6,4.01998,10.36,14.25,14.15,0.41,10.22
2016.06,359911.333333333,23.21,5.38,0.01002822,0.5,-1212.8,41.6,3.96483333333333,10.36,14.25,14.15,0.41,10.22
2016.05,358556.6,23.21,5.38,0.01002822,0.5,-1212.8,41.6,3.94182,10.36,14.25,14.15,0.41,10.22
2016.04,357230.2,21.52,-4.27,0.0105588,0.5,-6078,29,4.07366,10.71,14.25,14.15,0.14,9.5
2016.03,356591.4,21.52,-4.27,0.0105588,0.5,-6078,29,4.08636,10.71,14.25,14.15,0.14,9.5
2016.02,356677.8,21.52,-4.27,0.0105588,0.5,-6078,29,4.0188,10.71,14.25,14.15,0.14,9.5
2016.01,356353.6,21.52,-4.27,0.0105588,0.5,-6078,29,4.03058,10.71,14.25,14.15,0.14,9.5
2015.53,356428.5,21.9,11.71,0.01162079,0.5,783.4,152.6,3.89435,10.67,14.25,14.15,0.21,8.95
2015.52,356739,21.9,11.71,0.01162079,0.5,783.4,152.6,3.968925,10.67,14.25,14.15,0.21,8.95
2015.51,357661.6,21.9,11.71,0.01162079,0.5,783.4,152.6,3.90148,10.67,14.25,14.15,0.21,8.95
2015.5,358922,21.9,11.71,0.01162079,0.5,783.4,152.6,3.7842,10.67,14.25,14.15,0.21,8.95
2015.49,358452.2,21.9,11.71,0.01162079,0.5,783.4,152.6,3.82682,10.67,14.25,14.15,0.21,8.95
2015.48,357632.4,20.51,4.23,0.0105588,0.25,-3121.3,1,3.7401,10.48,14.25,14.15,0.24,9
2015.47,358418.8,20.51,4.23,0.0105588,0.25,-3121.3,1,3.77522,10.48,14.25,14.15,0.24,9
2015.46,358866.6,20.51,4.23,0.0105588,0.25,-3121.3,1,3.7851,10.48,14.25,14.15,0.24,9
2015.45,360245,20.51,4.23,0.0105588,0.25,-3121.3,1,3.794125,10.48,14.25,14.15,0.24,9
2015.44,361488.4,20.51,4.23,0.0105588,0.25,-3121.3,1,3.8882,10.48,14.25,14.15,0.24,9
2015.43,362323.6,19.83,2.38,0.01108965,0.25,-4280.1,14.1,3.9081,9.93,14.25,14.15,0.25,8.95
